id,vds,r0
7.0357855700e-24,0.0000000000e+00,5.8944160717e+05
-1.6965208900e-09,-1.0000000000e-03,5.9631827863e+05
-3.3547860000e-09,-2.0000000000e-03,6.1021932510e+05
-4.9749179700e-09,-3.0000000000e-03,6.2473293914e+05
-6.5570554100e-09,-4.0000000000e-03,6.3989352917e+05
-8.1013537300e-09,-5.0000000000e-03,6.5573757025e+05
-9.6079859300e-09,-6.0000000000e-03,6.7230369317e+05
-1.1077143500e-08,-7.0000000000e-03,6.8963278966e+05
-1.2509037200e-08,-8.0000000000e-03,7.0776806861e+05
-1.3903898100e-08,-9.0000000000e-03,7.2675512886e+05
-1.5261978400e-08,-1.0000000000e-02,7.4664226962e+05
-1.6583551600e-08,-1.1000000000e-02,7.6748027604e+05
-1.7868914300e-08,-1.2000000000e-02,7.8932246957e+05
-1.9118386400e-08,-1.3000000000e-02,8.1222515289e+05
-2.0332311400e-08,-1.4000000000e-02,8.3624720449e+05
-2.1511057900e-08,-1.5000000000e-02,8.6145022534e+05
-2.2655019400e-08,-1.6000000000e-02,8.8789882602e+05
-2.3764614700e-08,-1.7000000000e-02,9.1566007706e+05
-2.4840288900e-08,-1.8000000000e-02,9.4480365349e+05
-2.5882513000e-08,-1.9000000000e-02,9.7540196032e+05
-2.6891784000e-08,-2.0000000000e-02,1.0075297145e+06
-2.7868624900e-08,-2.1000000000e-02,1.0412636534e+06
-2.8813584600e-08,-2.2000000000e-02,1.0766827001e+06
-2.9727236800e-08,-2.3000000000e-02,1.1138669144e+06
-3.0610180700e-08,-2.4000000000e-02,1.1528979215e+06
-3.1463038400e-08,-2.5000000000e-02,1.1938583196e+06
-3.2286455200e-08,-2.6000000000e-02,1.2368304261e+06
-3.3081098000e-08,-2.7000000000e-02,1.2818961821e+06
-3.3847654200e-08,-2.8000000000e-02,1.3291370757e+06
-3.4586829200e-08,-2.9000000000e-02,1.3786324904e+06
-3.5299345900e-08,-3.0000000000e-02,1.4304592532e+06
-3.5985941700e-08,-3.1000000000e-02,1.4846910992e+06
-3.6647367100e-08,-3.2000000000e-02,1.5413966927e+06
-3.7284383600e-08,-3.3000000000e-02,1.6006406964e+06
-3.7897760300e-08,-3.4000000000e-02,1.6624802706e+06
-3.8488273500e-08,-3.5000000000e-02,1.7269656287e+06
-3.9056702300e-08,-3.6000000000e-02,1.7941384536e+06
-3.9603828000e-08,-3.7000000000e-02,1.8640312445e+06
-4.0130430000e-08,-3.8000000000e-02,1.9366669305e+06
-4.0637284500e-08,-3.9000000000e-02,2.0120549723e+06
-4.1125162400e-08,-4.0000000000e-02,2.0901934384e+06
-4.1594826400e-08,-4.1000000000e-02,2.1710701066e+06
-4.2047028400e-08,-4.2000000000e-02,2.2546548876e+06
-4.2482509800e-08,-4.3000000000e-02,2.3409042093e+06
-4.2901997300e-08,-4.4000000000e-02,2.4297647405e+06
-4.3306201700e-08,-4.5000000000e-02,2.5211605423e+06
-4.3695818700e-08,-4.6000000000e-02,2.6150052759e+06
-4.4071524100e-08,-4.7000000000e-02,2.7112006346e+06
-4.4433975100e-08,-4.8000000000e-02,2.8096248649e+06
-4.4783809700e-08,-4.9000000000e-02,2.9101537357e+06
-4.5121642800e-08,-5.0000000000e-02,3.0126443197e+06
-4.5448069900e-08,-5.1000000000e-02,3.1169362537e+06
-4.5763664000e-08,-5.2000000000e-02,3.2228683030e+06
