v-sweep,id,gm,
0.00000000e+00,-4.24606128e-10,8.91198226e-09,
-1.00000000e-03,-4.33601599e-10,9.07895981e-09,
-2.00000000e-03,-4.42764048e-10,9.24949006e-09,
-3.00000000e-03,-4.52100579e-10,9.42890210e-09,
-4.00000000e-03,-4.61621852e-10,9.61186686e-09,
-5.00000000e-03,-4.71324313e-10,9.78950254e-09,
-6.00000000e-03,-4.81200857e-10,9.96891458e-09,
-7.00000000e-03,-4.91262142e-10,1.01589848e-08,
-8.00000000e-03,-5.01518826e-10,1.03508313e-08,
-9.00000000e-03,-5.11963805e-10,1.05409015e-08,
-1.00000000e-02,-5.22600629e-10,1.07380771e-08,
-1.10000000e-02,-5.33439959e-10,1.09352527e-08,
-1.20000000e-02,-5.44471135e-10,1.11342047e-08,
-1.30000000e-02,-5.55708368e-10,1.13473675e-08,
-1.40000000e-02,-5.67165870e-10,1.15552012e-08,
-1.50000000e-02,-5.78818771e-10,1.17630350e-08,
-1.60000000e-02,-5.90691940e-10,1.19779742e-08,
-1.70000000e-02,-6.02774719e-10,1.21964661e-08,
-1.80000000e-02,-6.15084872e-10,1.24220634e-08,
-1.90000000e-02,-6.27618846e-10,1.26441080e-08,
-2.00000000e-02,-6.40373088e-10,1.28732580e-08,
-2.10000000e-02,-6.53365362e-10,1.31041844e-08,
-2.20000000e-02,-6.66581457e-10,1.33404399e-08,
-2.30000000e-02,-6.80046242e-10,1.35855771e-08,
-2.40000000e-02,-6.93752611e-10,1.38200562e-08,
-2.50000000e-02,-7.07686354e-10,1.40598644e-08,
-2.60000000e-02,-7.21872340e-10,1.43156598e-08,
-2.70000000e-02,-7.36317673e-10,1.45732315e-08,
-2.80000000e-02,-7.51018803e-10,1.48272505e-08,
-2.90000000e-02,-7.65972175e-10,1.50865986e-08,
-3.00000000e-02,-7.81192000e-10,1.53583812e-08,
-3.10000000e-02,-7.96688937e-10,1.56230584e-08,
-3.20000000e-02,-8.12438117e-10,1.58930646e-08,
-3.30000000e-02,-8.28475066e-10,1.61737290e-08,
-3.40000000e-02,-8.44785575e-10,1.64561698e-08,
-3.50000000e-02,-8.61387406e-10,1.67386105e-08,
-3.60000000e-02,-8.78262796e-10,1.70263803e-08,
-3.70000000e-02,-8.95440166e-10,1.73212555e-08,
-3.80000000e-02,-9.12905307e-10,1.76179071e-08,
-3.90000000e-02,-9.30675981e-10,1.79198878e-08,
-4.00000000e-02,-9.48745082e-10,1.82271975e-08,
-4.10000000e-02,-9.67130376e-10,1.85416127e-08,
-4.20000000e-02,-9.85828308e-10,1.88506988e-08,
-4.30000000e-02,-1.00483177e-09,1.91668903e-08,
-4.40000000e-02,-1.02416209e-09,1.94955163e-08,
-4.50000000e-02,-1.04382281e-09,1.98241423e-08,
-4.60000000e-02,-1.06381037e-09,2.01580974e-08,
-4.70000000e-02,-1.08413900e-09,2.04991579e-08,
-4.80000000e-02,-1.10480869e-09,2.08384421e-08,
-4.90000000e-02,-1.12581588e-09,2.11866080e-08,
-5.00000000e-02,-1.14718191e-09,2.15401030e-08,
-5.10000000e-02,-1.16889609e-09,2.18989271e-08,
-5.20000000e-02,-1.19097976e-09,2.22613039e-08,
-5.30000000e-02,-1.21341870e-09,2.26272334e-08,
-5.40000000e-02,-1.23623423e-09,2.30038211e-08,
-5.50000000e-02,-1.25942634e-09,2.33768560e-08,
-5.60000000e-02,-1.28298794e-09,2.37623254e-08,
-5.70000000e-02,-1.30695099e-09,2.41549003e-08,
-5.80000000e-02,-1.33129774e-09,2.45439224e-08,
-5.90000000e-02,-1.35603884e-09,2.49489318e-08,
-6.00000000e-02,-1.38119560e-09,2.53521648e-08,
-6.10000000e-02,-1.40674317e-09,2.57589505e-08,
-6.20000000e-02,-1.43271350e-09,2.61781707e-08,
-6.30000000e-02,-1.45909951e-09,2.66027200e-08,
-6.40000000e-02,-1.48591894e-09,2.70379275e-08,
-6.50000000e-02,-1.51317536e-09,2.74660295e-08,
-6.60000000e-02,-1.54085100e-09,2.79012369e-08,
-6.70000000e-02,-1.56897784e-09,2.83506552e-08,
-6.80000000e-02,-1.59755231e-09,2.88054025e-08,
-6.90000000e-02,-1.62658864e-09,2.92672553e-08,
-7.00000000e-02,-1.65608682e-09,2.97273317e-08,
-7.10000000e-02,-1.68604330e-09,3.01945136e-08,
-7.20000000e-02,-1.71647585e-09,3.06812353e-08,
-7.30000000e-02,-1.74740578e-09,3.11679571e-08,
-7.40000000e-02,-1.77881176e-09,3.16511262e-08,
-7.50000000e-02,-1.81070803e-09,3.21485061e-08,
-7.60000000e-02,-1.84310878e-09,3.26565441e-08,
-7.70000000e-02,-1.87602112e-09,3.31663585e-08,
-7.80000000e-02,-1.90944149e-09,3.36886075e-08,
-7.90000000e-02,-1.94339833e-09,3.42161854e-08,
-8.00000000e-02,-1.97787386e-09,3.47419871e-08,
-8.10000000e-02,-2.01288231e-09,3.52784468e-08,
-8.20000000e-02,-2.04843076e-09,3.58308938e-08,
-8.30000000e-02,-2.08454409e-09,3.63904462e-08,
-8.40000000e-02,-2.12121165e-09,3.69535513e-08,
-8.50000000e-02,-2.15845120e-09,3.75184328e-08,
-8.60000000e-02,-2.19624852e-09,3.80939724e-08,
-8.70000000e-02,-2.23463914e-09,3.86783938e-08,
-8.80000000e-02,-2.27360530e-09,3.92770261e-08,
-8.90000000e-02,-2.31319319e-09,3.98827638e-08,
-9.00000000e-02,-2.35337083e-09,4.04867251e-08,
-9.10000000e-02,-2.39416664e-09,4.11066736e-08,
-9.20000000e-02,-2.43558418e-09,4.17301749e-08,
-9.30000000e-02,-2.47762699e-09,4.23661106e-08,
-9.40000000e-02,-2.52031640e-09,4.30109282e-08,
-9.50000000e-02,-2.56364885e-09,4.36646275e-08,
