id,vds,r0
4.8035223800e-31,0.0000000000e+00,2.3632048755e+02
4.2315417100e-06,1.0000000000e-03,2.3671020737e+02
8.4491954500e-06,2.0000000000e-03,2.3749024167e+02
1.2652986000e-05,3.0000000000e-03,2.3827403385e+02
1.6842937900e-05,4.0000000000e-03,2.3906161392e+02
2.1019075700e-05,5.0000000000e-03,2.3985300391e+02
2.5181424000e-05,6.0000000000e-03,2.4064823505e+02
2.9330007100e-05,7.0000000000e-03,2.4144734321e+02
3.3464849200e-05,8.0000000000e-03,2.4225035302e+02
3.7585974600e-05,9.0000000000e-03,2.4305729533e+02
4.1693407300e-05,1.0000000000e-02,2.4386820416e+02
4.5787171300e-05,1.1000000000e-02,2.4468310809e+02
4.9867290500e-05,1.2000000000e-02,2.4550203894e+02
5.3933788700e-05,1.3000000000e-02,2.4632502892e+02
5.7986689600e-05,1.4000000000e-02,2.4715211060e+02
6.2026016800e-05,1.5000000000e-02,2.4798331694e+02
6.6051793800e-05,1.6000000000e-02,2.4881868128e+02
7.0064044000e-05,1.7000000000e-02,2.4965823419e+02
7.4062790800e-05,1.8000000000e-02,2.5050201294e+02
7.8048057300e-05,1.9000000000e-02,2.5135005195e+02
8.2019866700e-05,2.0000000000e-02,2.5220238303e+02
8.5978242000e-05,2.1000000000e-02,2.5305904463e+02
8.9923206100e-05,2.2000000000e-02,2.5392007575e+02
9.3854781700e-05,2.3000000000e-02,2.5478550604e+02
9.7772991700e-05,2.4000000000e-02,2.5565535901e+02
1.0167785900e-04,2.5000000000e-02,2.5652971449e+02
1.0556940500e-04,2.6000000000e-02,2.5740858985e+02
1.0944765300e-04,2.7000000000e-02,2.5829199719e+02
1.1331262500e-04,2.8000000000e-02,2.5917997734e+02
1.1716434400e-04,2.9000000000e-02,2.6007263059e+02
1.2100283000e-04,3.0000000000e-02,2.6096992039e+02
1.2482810800e-04,3.1000000000e-02,2.6187191591e+02
1.2864019700e-04,3.2000000000e-02,2.6277871717e+02
1.3243912000e-04,3.3000000000e-02,2.6369025608e+02
1.3622489900e-04,3.4000000000e-02,2.6460663586e+02
1.3999755500e-04,3.5000000000e-02,2.6552789096e+02
1.4375711000e-04,3.6000000000e-02,2.6645409290e+02
1.4750358400e-04,3.7000000000e-02,2.6738527703e+02
1.5123699900e-04,3.8000000000e-02,2.6832140853e+02
1.5495737700e-04,3.9000000000e-02,2.6926263241e+02
1.5866473700e-04,4.0000000000e-02,2.7020894853e+02
1.6235910200e-04,4.1000000000e-02,2.7116039666e+02
1.6604049100e-04,4.2000000000e-02,2.7211708737e+02
1.6970892500e-04,4.3000000000e-02,2.7307898664e+02
1.7336442500e-04,4.4000000000e-02,2.7404617110e+02
1.7700701100e-04,4.5000000000e-02,2.7501868021e+02
1.8063670400e-04,4.6000000000e-02,2.7599663161e+02
1.8425352200e-04,4.7000000000e-02,2.7698002746e+02
1.8785748700e-04,4.8000000000e-02,2.7796883414e+02
1.9144861900e-04,4.9000000000e-02,2.7896324807e+02
1.9502693600e-04,5.0000000000e-02,2.7996327319e+02
1.9859245900e-04,5.1000000000e-02,2.8096891556e+02
2.0214520700e-04,5.2000000000e-02,2.8198029786e+02
2.0568519900e-04,5.3000000000e-02,2.8299742566e+02
2.0921245500e-04,5.4000000000e-02,2.8402034504e+02
2.1272699400e-04,5.5000000000e-02,2.8504918322e+02
2.1622883400e-04,5.6000000000e-02,2.8608398783e+02
2.1971799400e-04,5.7000000000e-02,2.8712472516e+02
2.2319449400e-04,5.8000000000e-02,2.8817152689e+02
2.2665835100e-04,5.9000000000e-02,2.8922448311e+02
2.3010958400e-04,6.0000000000e-02,2.9028364624e+02
2.3354821000e-04,6.1000000000e-02,2.9134902407e+02
2.3697424900e-04,6.2000000000e-02,2.9242066985e+02
2.4038771800e-04,6.3000000000e-02,2.9349872046e+02
2.4378863500e-04,6.4000000000e-02,2.9458323093e+02
2.4717701700e-04,6.5000000000e-02,2.9567425567e+02
2.5055288200e-04,6.6000000000e-02,2.9677185099e+02
2.5391624700e-04,6.7000000000e-02,2.9787607250e+02
2.5726713000e-04,6.8000000000e-02,2.9898706784e+02
2.6060554600e-04,6.9000000000e-02,3.0010484920e+02
2.6393151400e-04,7.0000000000e-02,3.0122943280e+02
2.6724505000e-04,7.1000000000e-02,3.0236105972e+02
2.7054616900e-04,7.2000000000e-02,3.0349970018e+02
2.7383488900e-04,7.3000000000e-02,3.0464537186e+02
2.7711122600e-04,7.4000000000e-02,3.0579827675e+02
2.8037519500e-04,7.5000000000e-02,3.0695843266e+02
2.8362681300e-04,7.6000000000e-02,3.0812595453e+02
2.8686609400e-04,7.7000000000e-02,3.0930090776e+02
2.9009305500e-04,7.8000000000e-02,3.1048336294e+02
2.9330771000e-04,7.9000000000e-02,3.1167343600e+02
2.9651007500e-04,8.0000000000e-02,3.1287119964e+02
2.9970016400e-04,8.1000000000e-02,3.1407672442e+02
3.0287799300e-04,8.2000000000e-02,3.1529013490e+02
3.0604357500e-04,8.3000000000e-02,3.1651155431e+02
3.0919692500e-04,8.4000000000e-02,3.1774106133e+02
3.1233805600e-04,8.5000000000e-02,3.1897868128e+02
3.1546698400e-04,8.6000000000e-02,3.2022459781e+02
3.1858372000e-04,8.7000000000e-02,3.2147888829e+02
3.2168828000e-04,8.8000000000e-02,3.2274163916e+02
3.2478067500e-04,8.9000000000e-02,3.2401303566e+02
3.2786091900e-04,9.0000000000e-02,3.2529306070e+02
3.3092902500e-04,9.1000000000e-02,3.2658185291e+02
3.3398500600e-04,9.2000000000e-02,3.2787960881e+02
3.3702887300e-04,9.3000000000e-02,3.2918647321e+02
3.4006063800e-04,9.4000000000e-02,3.3050243130e+02
3.4308031400e-04,9.5000000000e-02,3.3182757709e+02
3.4608791300e-04,9.6000000000e-02,3.3316217193e+02
3.4908344500e-04,9.7000000000e-02,3.3450637018e+02
