v-sweep,id,gm,
0.00000000e+00,2.47091236e-12,4.08562073e-11,
1.00000000e-03,2.51176857e-12,4.08562073e-11,
2.00000000e-03,2.55262478e-12,4.17443857e-11,
3.00000000e-03,2.59525734e-12,4.44089210e-11,
4.00000000e-03,2.64144262e-12,4.52970994e-11,
5.00000000e-03,2.68585154e-12,4.61852778e-11,
6.00000000e-03,2.73381318e-12,4.79616347e-11,
7.00000000e-03,2.78177481e-12,4.88498131e-11,
8.00000000e-03,2.83151280e-12,4.97379915e-11,
9.00000000e-03,2.88125079e-12,5.06261699e-11,
1.00000000e-02,2.93276514e-12,5.24025268e-11,
1.10000000e-02,2.98605585e-12,5.41788836e-11,
1.20000000e-02,3.04112291e-12,5.41788836e-11,
1.30000000e-02,3.09441361e-12,5.50670620e-11,
1.40000000e-02,3.15125703e-12,5.68434189e-11,
1.50000000e-02,3.20810045e-12,5.86197757e-11,
1.60000000e-02,3.26849658e-12,6.12843110e-11,
1.70000000e-02,3.33066907e-12,6.12843110e-11,
1.80000000e-02,3.39106521e-12,6.39488462e-11,
1.90000000e-02,3.45856677e-12,6.57252031e-11,
2.00000000e-02,3.52251561e-12,6.66133815e-11,
2.10000000e-02,3.59179353e-12,6.83897383e-11,
2.20000000e-02,3.65929509e-12,6.92779167e-11,
2.30000000e-02,3.73034936e-12,7.10542736e-11,
2.40000000e-02,3.80140364e-12,7.19424520e-11,
2.50000000e-02,3.87423427e-12,7.54951657e-11,
2.60000000e-02,3.95239397e-12,7.81597009e-11,
2.70000000e-02,4.03055367e-12,8.08242362e-11,
2.80000000e-02,4.11404244e-12,8.17124146e-11,
2.90000000e-02,4.19397850e-12,8.08242362e-11,
3.00000000e-02,4.27569091e-12,8.52651283e-11,
3.10000000e-02,4.36450875e-12,8.79296636e-11,
3.20000000e-02,4.45155024e-12,8.88178420e-11,
3.30000000e-02,4.54214444e-12,9.23705556e-11,
3.40000000e-02,4.63629135e-12,9.32587341e-11,
3.50000000e-02,4.72866191e-12,9.68114477e-11,
3.60000000e-02,4.82991425e-12,9.94759830e-11,
3.70000000e-02,4.92761387e-12,9.94759830e-11,
3.80000000e-02,5.02886621e-12,1.03028697e-10,
3.90000000e-02,5.13367127e-12,1.06581410e-10,
4.00000000e-02,5.24202903e-12,1.09245946e-10,
4.10000000e-02,5.35216316e-12,1.10134124e-10,
4.20000000e-02,5.46229728e-12,1.14575016e-10,
4.30000000e-02,5.58131319e-12,1.18127730e-10,
4.40000000e-02,5.69855274e-12,1.19904087e-10,
4.50000000e-02,5.82112136e-12,1.23456800e-10,
4.60000000e-02,5.94546634e-12,1.25233157e-10,
4.70000000e-02,6.07158768e-12,1.27897692e-10,
4.80000000e-02,6.20126173e-12,1.31450406e-10,
4.90000000e-02,6.33448849e-12,1.36779477e-10,
5.00000000e-02,6.47482068e-12,1.38555833e-10,
5.10000000e-02,6.61160016e-12,1.41220369e-10,
5.20000000e-02,6.75726142e-12,1.47437618e-10,
5.30000000e-02,6.90647539e-12,1.49213975e-10,
5.40000000e-02,7.05568937e-12,1.52766688e-10,
5.50000000e-02,7.21200877e-12,1.57207580e-10,
5.60000000e-02,7.37010453e-12,1.60760294e-10,
5.70000000e-02,7.53352936e-12,1.65201186e-10,
5.80000000e-02,7.70050690e-12,1.67865721e-10,
5.90000000e-02,7.86926080e-12,1.72306613e-10,
6.00000000e-02,8.04512013e-12,1.77635684e-10,
6.10000000e-02,8.22453217e-12,1.82076576e-10,
6.20000000e-02,8.40927328e-12,1.85629290e-10,
6.30000000e-02,8.59579075e-12,1.90070182e-10,
6.40000000e-02,8.78941364e-12,1.95399252e-10,
6.50000000e-02,8.98658925e-12,1.99840144e-10,
6.60000000e-02,9.18909393e-12,2.05169215e-10,
6.70000000e-02,9.39692768e-12,2.12274642e-10,
6.80000000e-02,9.61364321e-12,2.16715534e-10,
6.90000000e-02,9.83035875e-12,2.19380070e-10,
7.00000000e-02,1.00524034e-11,2.27373675e-10,
7.10000000e-02,1.02851061e-11,2.32702746e-10,
7.20000000e-02,1.05178088e-11,2.36255460e-10,
7.30000000e-02,1.07576170e-11,2.43360887e-10,
7.40000000e-02,1.10045306e-11,2.49578136e-10,
7.50000000e-02,1.12567733e-11,2.56683563e-10,
7.60000000e-02,1.15178977e-11,2.64677169e-10,
7.70000000e-02,1.17861276e-11,2.69118061e-10,
7.80000000e-02,1.20561339e-11,2.73558953e-10,
7.90000000e-02,1.23332455e-11,2.80664381e-10,
8.00000000e-02,1.26174626e-11,2.89546165e-10,
8.10000000e-02,1.29123379e-11,2.98427949e-10,
8.20000000e-02,1.32143185e-11,3.03757020e-10,
8.30000000e-02,1.35198519e-11,3.10862447e-10,
8.40000000e-02,1.38360434e-11,3.18856053e-10,
8.50000000e-02,1.41575640e-11,3.26849658e-10,
8.60000000e-02,1.44897427e-11,3.34843264e-10,
8.70000000e-02,1.48272505e-11,3.42836870e-10,
8.80000000e-02,1.51754165e-11,3.50830476e-10,
8.90000000e-02,1.55289115e-11,3.60600438e-10,
9.00000000e-02,1.58966174e-11,3.70370401e-10,
9.10000000e-02,1.62696523e-11,3.78364007e-10,
9.20000000e-02,1.66533454e-11,3.89022148e-10,
9.30000000e-02,1.70476966e-11,3.97903932e-10,
9.40000000e-02,1.74491532e-11,4.06785716e-10,
9.50000000e-02,1.78612680e-11,4.18332036e-10,
9.60000000e-02,1.82858173e-11,4.29878355e-10,
9.70000000e-02,1.87210247e-11,4.38760139e-10,
9.80000000e-02,1.91633376e-11,4.47641924e-10,
9.90000000e-02,1.96163086e-11,4.60076421e-10,
1.00000000e-01,2.00834904e-11,4.72510919e-10,
1.01000000e-01,2.05613304e-11,4.83169060e-10,
1.02000000e-01,2.10498285e-11,4.96491737e-10,
1.03000000e-01,2.15543139e-11,5.08038056e-10,
1.04000000e-01,2.20659047e-11,5.19584376e-10,
1.05000000e-01,2.25934826e-11,5.33795230e-10,
1.06000000e-01,2.31334951e-11,5.47117907e-10,
1.07000000e-01,2.36877185e-11,5.60440583e-10,
1.08000000e-01,2.42543763e-11,5.73763259e-10,
1.09000000e-01,2.48352450e-11,5.87974114e-10,
1.10000000e-01,2.54303245e-11,6.03961325e-10,
1.11000000e-01,2.60431676e-11,6.17284002e-10,
1.12000000e-01,2.66648925e-11,6.32383035e-10,
1.13000000e-01,2.73079337e-11,6.48370246e-10,
1.14000000e-01,2.79616330e-11,6.64357458e-10,
1.15000000e-01,2.86366486e-11,6.83009205e-10,
1.16000000e-01,2.93276514e-11,6.98108238e-10,
1.17000000e-01,3.00328651e-11,7.14983628e-10,
1.18000000e-01,3.07576187e-11,7.34523553e-10,
1.19000000e-01,3.15019122e-11,7.51398943e-10,
1.20000000e-01,3.22604166e-11,7.69162511e-10,
1.21000000e-01,3.30402372e-11,7.87814258e-10,
1.22000000e-01,3.38360451e-11,8.07354184e-10,
1.23000000e-01,3.46549456e-11,8.29558644e-10,
1.24000000e-01,3.54951624e-11,8.48210391e-10,
1.25000000e-01,3.63513664e-11,8.71303030e-10,
1.26000000e-01,3.72377684e-11,8.93507490e-10,
1.27000000e-01,3.81383813e-11,9.12159237e-10,
1.28000000e-01,3.90620869e-11,9.37028233e-10,
1.29000000e-01,4.00124378e-11,9.60120872e-10,
1.30000000e-01,4.09823286e-11,9.84101689e-10,
1.31000000e-01,4.19806412e-11,1.00897068e-09,
1.32000000e-01,4.30002700e-11,1.03117515e-09,
1.33000000e-01,4.40429915e-11,1.05782050e-09,
1.34000000e-01,4.51159110e-11,1.08535403e-09,
1.35000000e-01,4.62136995e-11,1.11111120e-09,
1.36000000e-01,4.73381334e-11,1.13775656e-09,
1.37000000e-01,4.84892126e-11,1.16706644e-09,
1.38000000e-01,4.96722663e-11,1.19637633e-09,
1.39000000e-01,5.08819653e-11,1.22479804e-09,
1.40000000e-01,5.21218624e-11,1.25588429e-09,
1.41000000e-01,5.33937339e-11,1.28785871e-09,
1.42000000e-01,5.46975798e-11,1.31983313e-09,
1.43000000e-01,5.60334001e-11,1.35180755e-09,
1.44000000e-01,5.74011949e-11,1.38467016e-09,
1.45000000e-01,5.88027405e-11,1.42019729e-09,
1.46000000e-01,6.02415895e-11,1.45572443e-09,
1.47000000e-01,6.17141893e-11,1.48858703e-09,
1.48000000e-01,6.32187636e-11,1.52766688e-09,
1.49000000e-01,6.47695231e-11,1.56674673e-09,
1.50000000e-01,6.63522570e-11,1.60227387e-09,
1.51000000e-01,6.79740708e-11,1.64579461e-09,
1.52000000e-01,6.96438462e-11,1.68665082e-09,
1.53000000e-01,7.13473725e-11,1.72573067e-09,
1.54000000e-01,7.30953076e-11,1.76925141e-09,
1.55000000e-01,7.48858753e-11,1.81277215e-09,
1.56000000e-01,7.67208519e-11,1.85718108e-09,
1.57000000e-01,7.86002374e-11,1.90247817e-09,
1.58000000e-01,8.05258082e-11,1.95132799e-09,
1.59000000e-01,8.25028934e-11,2.00017780e-09,
1.60000000e-01,8.45261638e-11,2.04813944e-09,
1.61000000e-01,8.65991723e-11,2.09876561e-09,
1.62000000e-01,8.87236951e-11,2.15116813e-09,
1.63000000e-01,9.09015085e-11,2.20623519e-09,
