id,vds,r0
-5.2430496900e-23,0.0000000000e+00,2.1110107424e+04
-4.7370673200e-08,-1.0000000000e-03,2.1259224108e+04
-9.4085941300e-08,-2.0000000000e-03,2.1559476000e+04
-1.4014654500e-07,-3.0000000000e-03,2.1867958330e+04
-1.8555330100e-07,-4.0000000000e-03,2.2184974613e+04
-2.3030710800e-07,-5.0000000000e-03,2.2510841465e+04
-2.7440894700e-07,-6.0000000000e-03,2.2845888427e+04
-3.1785989000e-07,-7.0000000000e-03,2.3190459002e+04
-3.6066109900e-07,-8.0000000000e-03,2.3544911336e+04
-4.0281383400e-07,-9.0000000000e-03,2.3909617566e+04
-4.4431945700e-07,-1.0000000000e-02,2.4284966068e+04
-4.8517943400e-07,-1.1000000000e-02,2.4671361234e+04
-5.2539534200e-07,-1.2000000000e-02,2.5069223247e+04
-5.6496887400e-07,-1.3000000000e-02,2.5478989884e+04
-6.0390184200e-07,-1.4000000000e-02,2.5901115453e+04
-6.4219618700e-07,-1.5000000000e-02,2.6336073525e+04
-6.7985397600e-07,-1.6000000000e-02,2.6784355932e+04
-7.1687741600e-07,-1.7000000000e-02,2.7246472526e+04
-7.5326885400e-07,-1.8000000000e-02,2.7722953129e+04
-7.8903078600e-07,-1.9000000000e-02,2.8214347503e+04
-8.2416585900e-07,-2.0000000000e-02,2.8721225143e+04
-8.5867688100e-07,-2.1000000000e-02,2.9244175297e+04
-8.9256682400e-07,-2.2000000000e-02,2.9783808230e+04
-9.2583883100e-07,-2.3000000000e-02,3.0340755553e+04
-9.5849621900e-07,-2.4000000000e-02,3.0915667710e+04
-9.9054249100e-07,-2.5000000000e-02,3.1509218422e+04
-1.0219813300e-06,-2.6000000000e-02,3.2122094011e+04
-1.0528166300e-06,-2.7000000000e-02,3.2755003986e+04
-1.0830524700e-06,-2.8000000000e-02,3.3408693077e+04
-1.1126931200e-06,-2.9000000000e-02,3.4083899635e+04
-1.1417430900e-06,-3.0000000000e-02,3.4781386360e+04
-1.1702070800e-06,-3.1000000000e-02,3.5501941193e+04
-1.1980900200e-06,-3.2000000000e-02,3.6246354738e+04
-1.2253970600e-06,-3.3000000000e-02,3.7015441039e+04
-1.2521335700e-06,-3.4000000000e-02,3.7810015441e+04
-1.2783051600e-06,-3.5000000000e-02,3.8630913864e+04
-1.3039176500e-06,-3.6000000000e-02,3.9478964197e+04
-1.3289771200e-06,-3.7000000000e-02,4.0355001546e+04
-1.3534898600e-06,-3.8000000000e-02,4.1259875080e+04
-1.3774624000e-06,-3.9000000000e-02,4.2194396648e+04
