v-sweep,id,gm,
0.00000000e+00,-5.23847632e-11,1.28075328e-09,
-1.00000000e-03,-5.36779510e-11,1.30562228e-09,
-2.00000000e-03,-5.49960077e-11,1.33404399e-09,
-3.00000000e-03,-5.63460389e-11,1.36779477e-09,
-4.00000000e-03,-5.77315973e-11,1.40154555e-09,
-5.00000000e-03,-5.91491300e-11,1.43351997e-09,
-6.00000000e-03,-6.05986372e-11,1.46727075e-09,
-7.00000000e-03,-6.20836715e-11,1.50102153e-09,
-8.00000000e-03,-6.36006803e-11,1.54010138e-09,
-9.00000000e-03,-6.51638743e-11,1.57740487e-09,
-1.00000000e-02,-6.67554900e-11,1.60937930e-09,
-1.10000000e-02,-6.83826329e-11,1.64668279e-09,
-1.20000000e-02,-7.00488556e-11,1.68576264e-09,
-1.30000000e-02,-7.17541582e-11,1.72661885e-09,
-1.40000000e-02,-7.35020933e-11,1.76925141e-09,
-1.50000000e-02,-7.52926610e-11,1.80833126e-09,
-1.60000000e-02,-7.71187558e-11,1.84918747e-09,
-1.70000000e-02,-7.89910359e-11,1.89359639e-09,
-1.80000000e-02,-8.09059486e-11,1.93622895e-09,
-1.90000000e-02,-8.28634938e-11,1.98063788e-09,
-2.00000000e-02,-8.48672244e-11,2.02504680e-09,
-2.10000000e-02,-8.69135874e-11,2.07123207e-09,
-2.20000000e-02,-8.90096885e-11,2.11919371e-09,
-2.30000000e-02,-9.11519749e-11,2.16893170e-09,
-2.40000000e-02,-9.33475519e-11,2.22044605e-09,
-2.50000000e-02,-9.55928670e-11,2.26840768e-09,
-2.60000000e-02,-9.78843673e-11,2.32169839e-09,
-2.70000000e-02,-1.00236264e-10,2.37498909e-09,
-2.80000000e-02,-1.02634345e-10,2.42472709e-09,
-2.90000000e-02,-1.05085718e-10,2.48157050e-09,
-3.00000000e-02,-1.07597486e-10,2.53663757e-09,
-3.10000000e-02,-1.10158993e-10,2.59348099e-09,
-3.20000000e-02,-1.12784448e-10,2.65387712e-09,
-3.30000000e-02,-1.15466747e-10,2.71249689e-09,
-3.40000000e-02,-1.18209442e-10,2.77289303e-09,
-3.50000000e-02,-1.21012533e-10,2.83506552e-09,
-3.60000000e-02,-1.23879573e-10,2.89901436e-09,
-3.70000000e-02,-1.26810562e-10,2.96118685e-09,
-3.80000000e-02,-1.29801947e-10,3.02691205e-09,
-3.90000000e-02,-1.32864386e-10,3.09263726e-09,
-4.00000000e-02,-1.35987221e-10,3.16191517e-09,
-4.10000000e-02,-1.39188217e-10,3.23296945e-09,
-4.20000000e-02,-1.42453160e-10,3.30224736e-09,
-4.30000000e-02,-1.45792711e-10,3.37685435e-09,
-4.40000000e-02,-1.49206869e-10,3.44790863e-09,
-4.50000000e-02,-1.52688528e-10,3.52251561e-09,
-4.60000000e-02,-1.56251900e-10,3.59889896e-09,
-4.70000000e-02,-1.59886326e-10,3.67528230e-09,
-4.80000000e-02,-1.63602465e-10,3.75699472e-09,
-4.90000000e-02,-1.67400316e-10,3.83870713e-09,
-5.00000000e-02,-1.71279879e-10,3.92041954e-09,
-5.10000000e-02,-1.75241155e-10,4.00390832e-09,
-5.20000000e-02,-1.79287696e-10,4.08917344e-09,
-5.30000000e-02,-1.83419502e-10,4.17799129e-09,
-5.40000000e-02,-1.87643678e-10,4.26503277e-09,
-5.50000000e-02,-1.91949567e-10,4.35385061e-09,
-5.60000000e-02,-1.96351380e-10,4.44977388e-09,
-5.70000000e-02,-2.00849115e-10,4.54214444e-09,
-5.80000000e-02,-2.05435668e-10,4.63629135e-09,
-5.90000000e-02,-2.10121698e-10,4.73576733e-09,
-6.00000000e-02,-2.14907203e-10,4.83346696e-09,
-6.10000000e-02,-2.19788632e-10,4.93294294e-09,
-6.20000000e-02,-2.24773089e-10,5.03774800e-09,
-6.30000000e-02,-2.29864128e-10,5.14255305e-09,
-6.40000000e-02,-2.35058195e-10,5.24735810e-09,
-6.50000000e-02,-2.40358844e-10,5.35749223e-09,
-6.60000000e-02,-2.45773180e-10,5.46762635e-09,
-6.70000000e-02,-2.51294097e-10,5.57953683e-09,
-6.80000000e-02,-2.56932253e-10,5.69500003e-09,
-6.90000000e-02,-2.62684097e-10,5.81046322e-09,
-7.00000000e-02,-2.68553180e-10,5.92770277e-09,
